price,drive
12977,4wd
9975,rwd
26789,4wd
9500,4wd
4600,fwd
6500,4wd
32590,4wd
19500,4wd
4800,fwd
14990,fwd
17990,fwd
13990,fwd
24995,4wd
11995,rwd
29980,4wd
6995,fwd
9500,rwd
1350,fwd
27000,4wd
40990,fwd
28403,4wd
7500,4wd
15599,fwd
494,4wd
26990,fwd
3200,rwd
44499,4wd
2500,fwd
12345,rwd
19985,fwd
8690,fwd
8990,fwd
15995,4wd
39651,4wd
81999,4wd
4997,fwd
3750,rwd
37999,4wd
3977,4wd
75000,4wd
13480,fwd
23989,fwd
39995,4wd
23566,4wd
52610,4wd
41194,4wd
27995,4wd
3975,fwd
6500,rwd
33990,rwd
6995,fwd
1450,rwd
14500,rwd
34990,rwd
8995,fwd
2950,fwd
9995,rwd
11917,fwd
8900,fwd
4500,rwd
15990,fwd
4500,rwd
29950,rwd
10995,fwd
3000,fwd
29900,4wd
14942,rwd
5999,rwd
10995,4wd
15990,fwd
17900,rwd
34999,4wd
439,4wd
6900,fwd
29990,4wd
9580,fwd
41747,4wd
31990,4wd
12995,4wd
1995,fwd
23990,fwd
7995,fwd
8499,fwd
24500,4wd
3600,fwd
10000,rwd
42999,4wd
33990,rwd
11990,4wd
19995,4wd
20988,4wd
8988,4wd
4999,fwd
3200,fwd
19000,4wd
34800,rwd
16990,fwd
8500,rwd
27999,4wd
5995,4wd
12999,rwd
8000,4wd
5995,fwd
4500,4wd
6995,fwd
42000,4wd
6895,fwd
9500,4wd
10500,4wd
38950,4wd
20500,fwd
9700,rwd
5995,fwd
10750,fwd
2400,fwd
49628,4wd
12995,fwd
15000,rwd
34999,4wd
15800,4wd
16990,4wd
14950,rwd
59995,rwd
7500,rwd
64999,4wd
10500,rwd
6988,fwd
24995,4wd
4000,4wd
12900,fwd
11998,4wd
5795,4wd
31700,rwd
20995,fwd
13995,fwd
9500,4wd
6000,4wd
45995,4wd
17590,rwd
13997,4wd
33480,4wd
22590,fwd
23500,rwd
14990,fwd
21900,4wd
30990,rwd
38500,4wd
22590,4wd
12995,4wd
27395,4wd
8950,fwd
6750,fwd
4995,4wd
49995,rwd
500,fwd
29990,4wd
7500,4wd
40999,4wd
36949,4wd
6500,4wd
22852,fwd
15900,4wd
37500,4wd
16213,fwd
10495,fwd
16845,fwd
40995,4wd
9500,fwd
21500,rwd
22900,fwd
53830,4wd
50130,fwd
14000,rwd
11999,4wd
25990,rwd
155,fwd
25000,rwd
21590,fwd
5995,fwd
14900,rwd
13990,fwd
22896,4wd
282,rwd
16000,rwd
37990,rwd
4500,fwd
13488,4wd
18995,rwd
35990,rwd
26988,4wd
7800,rwd
12950,4wd
26990,4wd
11450,fwd
38355,rwd
8995,rwd
20977,4wd
19999,4wd
28000,4wd
4395,fwd
8995,4wd
38952,4wd
7995,rwd
3200,fwd
17995,fwd
6300,4wd
6500,4wd
6980,rwd
11990,fwd
129888,4wd
9900,fwd
10588,fwd
41900,rwd
24500,4wd
34590,4wd
42999,4wd
4500,fwd
7999,fwd
16995,4wd
8650,fwd
6495,fwd
17995,fwd
13999,4wd
16990,fwd
46000,4wd
17000,4wd
30998,rwd
24990,rwd
3495,fwd
14480,4wd
15590,fwd
2500,4wd
3895,rwd
35590,rwd
9988,fwd
73180,4wd
507,4wd
35590,rwd
6500,fwd
8395,rwd
4100,4wd
21590,fwd
31995,4wd
14988,4wd
24991,fwd
31590,rwd
32999,4wd
42590,rwd
34990,rwd
8488,fwd
10950,4wd
6995,fwd
4200,rwd
7990,fwd
25989,4wd
16990,fwd
31425,fwd
10988,fwd
59995,rwd
30998,4wd
7000,rwd
22950,4wd
29600,rwd
40998,4wd
39999,4wd
7500,4wd
26990,fwd
37990,4wd
21900,4wd
5700,fwd
6000,4wd
39590,rwd
8490,fwd
9999,rwd
32990,fwd
24997,4wd
34000,4wd
30590,rwd
28990,fwd
26590,fwd
12000,rwd
9995,fwd
25990,rwd
23999,4wd
28997,4wd
64995,rwd
15000,fwd
29880,rwd
14997,4wd
1500,fwd
9600,rwd
319,4wd
29995,rwd
26990,4wd
19900,4wd
12975,4wd
23900,4wd
3000,4wd
7272,fwd
4500,4wd
46900,4wd
8499,4wd
25988,4wd
30697,rwd
43990,4wd
11500,fwd
38991,4wd
3999,fwd
12750,4wd
45000,4wd
17551,4wd
30995,rwd
1750,fwd
18990,fwd
10991,rwd
7500,rwd
17000,4wd
9500,4wd
6600,fwd
28400,4wd
15900,4wd
99,rwd
50990,4wd
3000,fwd
6500,fwd
28957,fwd
37987,4wd
4495,fwd
10500,fwd
13999,fwd
13999,rwd
8900,rwd
8900,rwd
21995,4wd
34590,rwd
25999,4wd
21997,fwd
27000,rwd
17590,fwd
17590,fwd
3950,fwd
8969,fwd
15850,4wd
32590,rwd
24950,rwd
424,rwd
2595,fwd
5295,fwd
23990,fwd
19998,4wd
7294,rwd
5949,fwd
41998,4wd
920,rwd
29688,4wd
45999,4wd
7995,rwd
20690,fwd
34899,4wd
21590,rwd
44990,rwd
30995,4wd
15990,fwd
16250,4wd
28000,4wd
22500,fwd
11500,4wd
37995,rwd
29900,4wd
24799,4wd
2500,rwd
17988,4wd
4995,fwd
5500,4wd
4400,rwd
20998,fwd
35590,rwd
8400,fwd
38997,4wd
37506,4wd
5995,4wd
4295,fwd
500,fwd
12555,fwd
34995,4wd
28400,4wd
15900,fwd
39990,4wd
6999,fwd
12500,fwd
12995,fwd
5995,fwd
22987,fwd
17250,fwd
6500,fwd
31990,rwd
38995,4wd
9550,4wd
21995,4wd
11500,fwd
27337,4wd
24999,4wd
8000,rwd
26990,rwd
7250,rwd
9994,4wd
34590,4wd
18700,4wd
14980,fwd
68973,4wd
42952,4wd
2995,fwd
23481,4wd
8900,fwd
48998,4wd
14800,fwd
513,rwd
12499,fwd
19995,4wd
41723,4wd
26995,4wd
20000,rwd
5891,fwd
33499,4wd
33900,4wd
10995,4wd
4500,fwd
25900,4wd
27995,4wd
12990,4wd
33990,rwd
6499,4wd
57980,4wd
15495,4wd
49331,rwd
4995,4wd
17990,fwd
11995,4wd
7950,fwd
12307,fwd
1500,4wd
4000,4wd
55995,4wd
37999,4wd
34590,4wd
14999,rwd
11995,fwd
13950,fwd
17590,fwd
21999,rwd
22900,rwd
47995,rwd
15600,4wd
38990,4wd
3990,fwd
13985,rwd
22500,4wd
18999,fwd
19999,4wd
6500,4wd
28767,4wd
39900,rwd
7900,fwd
10500,4wd
11191,4wd
21990,rwd
20122,rwd
3999,fwd
29990,rwd
5500,4wd
14295,fwd
13000,rwd
3400,4wd
9998,4wd
19999,4wd
49531,4wd
6995,fwd
37900,fwd
21590,fwd
26572,rwd
24990,fwd
3500,rwd
2550,rwd
8000,4wd
11995,4wd
10995,fwd
34999,4wd
38742,4wd
38990,rwd
18753,rwd
34495,4wd
27000,4wd
27995,rwd
32590,4wd
6949,4wd
13699,fwd
14990,fwd
17590,fwd
22995,fwd
25500,4wd
5500,fwd
5195,rwd
25695,4wd
7850,fwd
21999,rwd
6950,fwd
26995,fwd
10995,fwd
6595,rwd
6000,4wd
27990,fwd
1900,fwd
16995,fwd
16000,rwd
15372,rwd
3100,rwd
21590,rwd
12999,4wd
9995,fwd
28590,4wd
14499,rwd
31351,rwd
42999,4wd
5995,fwd
28163,4wd
14980,fwd
3000,fwd
21583,rwd
33994,4wd
37990,4wd
7850,4wd
29900,4wd
33480,4wd
10495,4wd
31950,4wd
2000,fwd
99,4wd
36999,4wd
37991,4wd
6995,fwd
28998,rwd
5500,fwd
9977,fwd
9990,4wd
6500,fwd
7900,rwd
21695,fwd
14900,4wd
25977,4wd
26500,rwd
10495,rwd
16800,4wd
9999,fwd
16000,rwd
68000,rwd
32900,4wd
21990,rwd
10495,fwd
13900,fwd
19990,rwd
515,rwd
17590,fwd
16999,fwd
15999,fwd
2995,rwd
2988,4wd
27888,4wd
3750,4wd
6000,4wd
5999,fwd
38500,rwd
17990,fwd
5900,4wd
5000,4wd
2200,fwd
3000,rwd
11995,4wd
30900,4wd
3000,4wd
49999,4wd
11975,4wd
17995,fwd
9000,4wd
477,4wd
59990,4wd
6195,fwd
21990,rwd
14950,fwd
15995,4wd
21638,rwd
26990,4wd
15918,fwd
1600,fwd
24999,4wd
9995,fwd
9399,rwd
3999,fwd
39000,4wd
22999,rwd
7990,4wd
10990,4wd
24900,rwd
27995,4wd
36990,4wd
5723,fwd
11381,fwd
29990,4wd
6000,rwd
6000,4wd
29995,4wd
13488,fwd
3600,fwd
4000,fwd
9995,4wd
4275,fwd
5975,fwd
13995,fwd
15495,fwd
5399,4wd
43990,4wd
19499,4wd
4995,fwd
9995,fwd
31371,4wd
10950,4wd
39590,4wd
29997,4wd
22900,4wd
34000,4wd
4900,fwd
16901,4wd
13999,rwd
37990,4wd
